Stockname,Open,High,Low,Close
Reliance,15.859429,15.944529,15.754989,15.917452
Reliance,15.87877,15.956133,15.677626,15.793671
Reliance,16.052837,16.783918,15.87877,15.913584
Reliance,15.762726,15.813012,15.553845,15.766594
Reliance,15.704703,15.704703,15.5229,15.658285
Reliance,15.62734,15.638945,14.876918,15.031645
Reliance,14.586807,14.853709,14.099419,14.598411
Reliance,14.312168,14.656434,14.157442,14.2232
Reliance,14.080079,14.737665,14.060738,14.668038
Reliance,14.776346,14.888523,14.416608,14.513312
Reliance,14.470762,14.544257,14.281223,14.362454
Reliance,14.312168,14.466894,14.26575,14.389531
Reliance,14.312168,14.331509,13.697132,13.817044
Reliance,13.465042,13.685527,13.290975,13.434097
Reliance,13.248426,13.414756,13.109172,13.19814
Reliance,13.240689,13.59656,13.229085,13.422493
Reliance,13.46891,13.526933,12.146002,12.853874
Reliance,12.741698,12.819061,12.223365,12.412905
Reliance,12.385827,12.439982,11.817209,11.890704
Reliance,11.890704,11.890704,11.890704,11.890704
Reliance,11.83655,12.938973,11.763055,12.826797
Reliance,13.229085,14.62162,13.035677,13.979507
Reliance,13.84799,14.37019,13.325789,13.673923
Reliance,13.538537,14.312168,13.499856,14.2232
Reliance,14.602279,15.936792,14.602279,15.766594
Reliance,16.63306,17.422163,16.134068,17.077898
Reliance,17.487923,17.793507,15.286943,15.646681
Reliance,14.780215,16.091518,14.625488,15.936792
Reliance,16.099255,17.611704,15.936792,17.329329
Reliance,17.948233,18.721863,17.337065,18.335049
Reliance,17.870869,18.180323,16.942513,17.186207
Reliance,17.019875,18.888193,16.872887,18.219004
Reliance,18.683182,18.950085,18.091354,18.230608
Reliance,17.793507,18.37373,17.638781,17.940496
Reliance,17.638781,17.812847,17.487923,17.623306
Reliance,17.948233,18.195793,17.696802,17.801243
Reliance,17.793507,17.867001,16.63306,16.86128
Reliance,16.86128,16.86128,16.86128,16.86128
Reliance,17.251965,17.870869,17.101107,17.750957
Reliance,17.716143,17.754826,17.267437,17.561417
Reliance,17.754826,18.122299,17.487923,17.6001
Reliance,17.70067,17.793507,17.101107,17.398954
Reliance,17.735483,17.93276,17.445372,17.484055
Reliance,17.329329,17.391218,16.284925,16.389366
Reliance,16.517015,16.725897,16.134068,16.482203
Reliance,16.555696,16.63306,16.122463,16.312002
Reliance,16.312002,16.312002,16.312002,16.312002
Reliance,16.594379,17.004402,16.44739,16.892225
Reliance,17.128183,17.426031,16.961853,17.043083
Reliance,16.826468,17.019875,16.61372,16.954117
Reliance,16.710423,17.058558,16.644665,17.00827
Reliance,16.981194,18.412411,16.903831,17.882475
Reliance,17.406691,17.658121,17.193941,17.576891
Reliance,17.561417,17.747087,17.445372,17.573021
Reliance,17.480186,17.53434,16.865149,16.996668
Reliance,16.822599,16.865149,16.161144,16.223036
Reliance,16.168882,16.46286,14.892391,15.225052
Reliance,15.225052,15.225052,15.225052,15.225052
Reliance,15.859429,16.486071,15.859429,16.315872
Reliance,16.010286,16.010286,15.356569,15.654417
Reliance,15.855561,15.944529,15.337229,15.561582
Reliance,15.472614,15.782066,14.969754,15.46101
Reliance,16.014156,16.242376,15.940661,16.010286
Reliance,16.052837,16.3004,15.998683,16.219168
